Diccionario de datos

Columna	Tipo	Concepto
PRODUCTO	Carácter (65)	Nombre del producto.
PRESENTACIÓN	Carácter (180)	Descripción de la presentación del producto.
MARCA	Carácter (65)	Descripción de la marca del producto.
CATEGORÍA	Carácter (65)	Nombre de la categoría a la cual pertenece el producto.
CATÁLOGO	Carácter (65)	Nombre del catálogo al que pertenece el producto.
PRECIO	Número (18,2)	Precio del producto de venta al público.
FECHAREGISTRO	Datetime (8)	Día, mes y año en que fue capturado el precio del producto en el establecimiento.
CADENACOMERCIAL	Carácter (65)	Conjunto de establecimientos que son sucursales de una misma marca comercial.
GIRO	Carácter (65)	Descripción del giro comercial.
NOMBRECOMERCIAL	Carácter (120)	Nombre comercial asociado a la razón social del establecimiento.
DIRECCIÓN	Carácter (255)	Dirección del establecimiento.
ESTADO	Carácter (120)	Entidad federativa en la que se localiza el establecimiento.
MUNICIPIO	Carácter (120)	Nombre del municipio o demarcación territorial en el que se localiza el establecimiento.
LATITUD	Número (18,6)	Localización del establecimiento con respecto al ecuador. Expresadas en grados decimales
LONGITUD	Número (18,6)	Localización del establecimiento con respecto al meridiano 0 . Expresadas en grados decimales
